"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"150";"T39-C-3";887,5;NA;887,5;NA;NA;887,5;NA;NA;NA;887,5;NA;NA;NA;NA;NA;NA
"151";"T39-C-4";3812,5;575;NA;3237,5;400;3225;187,5;NA;387,5;NA;400;NA;187,5;2837,5;NA;NA
"152";"T4";42287,5;22550;1250;18487,5;5675;33137,5;3475;3750;15825;1250;1925;NA;2975;16062,5;NA;500
"153";"T40";500;500;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;500;NA;NA;NA
"154";"T40-C-1";1850;1137,5;NA;712,5;NA;1350;500;NA;637,5;NA;NA;NA;500;712,5;NA;NA
"155";"T41";1250;NA;NA;1250;NA;1250;NA;NA;NA;NA;NA;NA;NA;1250;NA;NA
"156";"T41-C-1";7400;3162,5;NA;4237,5;875;6075;450;NA;2712,5;NA;875;NA;450;3362,5;NA;NA
"157";"T42";245;NA;NA;245;NA;245;NA;NA;NA;NA;NA;NA;NA;245;NA;NA
"158";"T43";3000;300;NA;2700;500;2500;NA;NA;300;NA;500;NA;NA;2200;NA;NA
"159";"T43-C-1";6032,5;787,5;NA;5245;950;4957,5;125;NA;662,5;NA;950;NA;125;4295;NA;NA
"160";"T44";14062,5;NA;NA;14062,5;4500;9562,5;NA;NA;NA;NA;4500;NA;NA;9562,5;NA;NA
"161";"T44-C-1";15057,5;3175;NA;11882,5;1000;14057,5;NA;NA;3175;NA;1000;NA;NA;10882,5;NA;NA
"162";"T45";2575;475;250;1850;1462,5;1112,5;NA;NA;475;250;1462,5;NA;NA;387,5;NA;NA
"163";"T45-C-1";12087,5;3687,5;NA;8400;1825;10050;212,5;500;2975;NA;1325;NA;212,5;7075;NA;NA
"164";"T45-C-2";9650;5237,5;NA;4412,5;562,5;8975;112,5;NA;5125;NA;562,5;NA;112,5;3850;NA;NA
"165";"T45-C-3";10537,5;1850;NA;8687,5;475;9937,5;125;NA;1725;NA;475;NA;125;8212,5;NA;NA
"166";"T6";1150;NA;NA;1150;1150;NA;NA;NA;NA;NA;1150;NA;NA;NA;NA;NA
"167";"T7";2575;1337,5;1237,5;NA;500;2075;NA;500;837,5;1237,5;NA;NA;NA;NA;NA;NA
