"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"142";"T37";162,5;NA;NA;162,5;162,5;NA;NA;NA;NA;NA;NA;162,5;NA;NA
"143";"T37-C-2";5725;NA;3000;2725;5100;487,5;137,5;NA;NA;2862,5;NA;2237,5;487,5;137,5
"144";"T37-C-3";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"145";"T38";1500;NA;462,5;1037,5;1500;NA;NA;NA;NA;462,5;NA;1037,5;NA;NA
"146";"T38-C-1";19232,5;NA;7912,5;11320;18482,5;750;NA;NA;NA;7912,5;NA;10570;750;NA
"147";"T39";712,5;NA;537,5;175;712,5;NA;NA;NA;NA;537,5;NA;175;NA;NA
"148";"T39-C-1";350;NA;200;150;350;NA;NA;NA;NA;200;NA;150;NA;NA
"149";"T39-C-2";400;NA;NA;400;400;NA;NA;NA;NA;NA;NA;400;NA;NA
"150";"T39-C-3";887,5;887,5;NA;NA;887,5;NA;NA;887,5;NA;NA;NA;NA;NA;NA
"151";"T39-C-4";3812,5;NA;575;3237,5;3662,5;150;NA;NA;NA;575;NA;3087,5;150;NA
"152";"T4";42287,5;1475;28062,5;12750;30987,5;9825;1475;NA;4675;23387,5;1475;7600;5150;NA
"153";"T4-C-3";33522,5;612,5;21560;11350;33022,5;NA;500;112,5;NA;21560;500;11350;NA;NA
"154";"T4-C-7";6690;212,5;2112,5;4365;6690;NA;NA;212,5;NA;2112,5;NA;4365;NA;NA
"155";"T40";500;NA;500;NA;500;NA;NA;NA;NA;500;NA;NA;NA;NA
"156";"T40-C-1";1850;NA;1150;700;1350;NA;500;NA;NA;650;NA;700;NA;500
"157";"T41";1250;NA;NA;1250;1250;NA;NA;NA;NA;NA;NA;1250;NA;NA
"158";"T41-C-1";7400;NA;3450;3950;7400;NA;NA;NA;NA;3450;NA;3950;NA;NA
"159";"T42";245;NA;NA;245;NA;245;NA;NA;NA;NA;NA;NA;245;NA
"160";"T43";3000;NA;300;2700;3000;NA;NA;NA;NA;300;NA;2700;NA;NA
"161";"T43-C-1";6032,5;NA;1437,5;4595;5707,5;200;125;NA;200;1112,5;NA;4595;NA;125
"162";"T44";14062,5;NA;NA;14062,5;13812,5;250;NA;NA;NA;NA;NA;13812,5;250;NA
"163";"T44-C-1";15057,5;NA;3675;11382,5;13495;NA;1562,5;NA;NA;2112,5;NA;11382,5;NA;1562,5
"164";"T45";2575;NA;1112,5;1462,5;2575;NA;NA;NA;NA;1112,5;NA;1462,5;NA;NA
"165";"T45-C-1";12087,5;NA;2437,5;9650;10500;1587,5;NA;NA;NA;2437,5;NA;8062,5;1587,5;NA
"166";"T45-C-2";9650;NA;8000;1650;9262,5;387,5;NA;NA;250;7750;NA;1512,5;137,5;NA
"167";"T45-C-3";10537,5;NA;3525;7012,5;10537,5;NA;NA;NA;NA;3525;NA;7012,5;NA;NA
"168";"T6";1150;NA;NA;1150;1150;NA;NA;NA;NA;NA;NA;1150;NA;NA
"169";"T7";2575;1437,5;1137,5;NA;1825;750;NA;1437,5;750;387,5;NA;NA;NA;NA
"170";"T7-C-11";825;825;NA;NA;825;NA;NA;825;NA;NA;NA;NA;NA;NA
"171";"T7-C-13";1285;585;700;NA;1285;NA;NA;585;NA;700;NA;NA;NA;NA
"172";"T7-C-6";7327,5;6942,5;385;NA;5915;NA;1412,5;5530;NA;385;1412,5;NA;NA;NA
"173";"T7-C-7";3617,5;3617,5;NA;NA;3617,5;NA;NA;3617,5;NA;NA;NA;NA;NA;NA
"174";"V1";455;NA;NA;455;455;NA;NA;NA;NA;NA;NA;455;NA;NA
"175";"V1-C-4";8390;1762,5;6465;162,5;7665;NA;725;1037,5;NA;6465;725;162,5;NA;NA
"176";"V11-C-1";250;NA;NA;250;250;NA;NA;NA;NA;NA;NA;250;NA;NA
"177";"V12";225;NA;225;NA;225;NA;NA;NA;NA;225;NA;NA;NA;NA
"178";"V12-C-1";4975;NA;1387,5;3587,5;4975;NA;NA;NA;NA;1387,5;NA;3587,5;NA;NA
"179";"V12-C-2";400;NA;225;175;400;NA;NA;NA;NA;225;NA;175;NA;NA
"180";"V12-C-3";500;NA;NA;500;500;NA;NA;NA;NA;NA;NA;500;NA;NA
"181";"V2";587,5;NA;212,5;375;337,5;250;NA;NA;NA;212,5;NA;125;250;NA
