"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"136";"T35-C-1";9727,5;NA;4470;5257,5;9115;612,5;NA;NA;NA;4470;NA;4645;612,5;NA
"137";"T35-C-2";12002,5;100;7070;4832,5;10465;1012,5;525;NA;137,5;6507,5;100;3957,5;875;425
"138";"T35-C-3";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"139";"T36-C-1";8312,5;NA;3700;4612,5;7962,5;350;NA;NA;137,5;3562,5;NA;4400;212,5;NA
"140";"T36-C-2";212,5;NA;212,5;NA;212,5;NA;NA;NA;NA;212,5;NA;NA;NA;NA
"141";"T36-C-3";1662,5;1500;162,5;NA;1662,5;NA;NA;1500;NA;162,5;NA;NA;NA;NA
"142";"T37";162,5;NA;NA;162,5;162,5;NA;NA;NA;NA;NA;NA;162,5;NA;NA
"143";"T37-C-2";5725;NA;3000;2725;5100;487,5;137,5;NA;NA;2862,5;NA;2237,5;487,5;137,5
"144";"T37-C-3";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"145";"T38";1500;NA;462,5;1037,5;1500;NA;NA;NA;NA;462,5;NA;1037,5;NA;NA
"146";"T38-C-1";19232,5;NA;7912,5;11320;18482,5;750;NA;NA;NA;7912,5;NA;10570;750;NA
"147";"T39";712,5;NA;537,5;175;712,5;NA;NA;NA;NA;537,5;NA;175;NA;NA
"148";"T39-C-1";350;NA;200;150;350;NA;NA;NA;NA;200;NA;150;NA;NA
"149";"T39-C-2";400;NA;NA;400;400;NA;NA;NA;NA;NA;NA;400;NA;NA
"150";"T39-C-3";887,5;887,5;NA;NA;887,5;NA;NA;887,5;NA;NA;NA;NA;NA;NA
"151";"T39-C-4";3812,5;NA;575;3237,5;3662,5;150;NA;NA;NA;575;NA;3087,5;150;NA
"152";"T4";42287,5;1475;28062,5;12750;30987,5;9825;1475;NA;4675;23387,5;1475;7600;5150;NA
"153";"T40";500;NA;500;NA;500;NA;NA;NA;NA;500;NA;NA;NA;NA
"154";"T40-C-1";1850;NA;1150;700;1350;NA;500;NA;NA;650;NA;700;NA;500
"155";"T41";1250;NA;NA;1250;1250;NA;NA;NA;NA;NA;NA;1250;NA;NA
"156";"T41-C-1";7400;NA;3450;3950;7400;NA;NA;NA;NA;3450;NA;3950;NA;NA
"157";"T42";245;NA;NA;245;NA;245;NA;NA;NA;NA;NA;NA;245;NA
